bmw3_2,227362,1207710296,16.2215438133,74.451008,5.395765,10.825779,111.558745
c-58,37595,157618374,59.9139251586,2.630747,4.921065,54.99286,2.866161
c-62ghs,41731,113274026,55.5540106245,2.038989,3.940384,51.613627,2.194653
c-71,76638,150299464,126.7035359037,1.186229,5.978394,120.725141,1.244972
exdata_1,6001,6781614002,153.3074256877,44.235392,9.183427,144.123999,47.054023
audikw_1,943695,16179469794,266.5231627179,60.70568,62.942373,203.580789,79.474443
bmw7st_1,141347,808018518,9.9852447194,80.921253,3.381955,6.60329,122.36605
bmwcra_1,148770,1625007604,21.6097527824,75.19788,7.347839,14.261914,113.94036
crankseg_1,52804,5097376072,78.0972558408,65.269593,13.703121,64.394135,79.159012
crankseg_2,63838,7445435716,124.2587518442,59.918803,20.968799,103.289953,72.082865
crplat2,18010,104580476,1.3891904688,75.281596,0.411206,0.977985,106.934683
fcondp2,201822,1300662144,15.9726243437,81.43071,5.338458,10.634166,122.309745
fullb,199187,1440268514,18.9428988451,76.032107,6.413229,12.52967,114.948642
halfb,224617,1431001290,16.8122392526,85.116638,5.691083,11.121156,128.673791
hood,220542,1124056276,14.4260739646,77.918377,4.991669,9.434405,119.144375
inline_1,503712,6660886732,102.2795842509,65.124304,31.594221,70.685363,94.232899
ldoor,952203,4817762754,56.7144786532,84.947669,19.284699,37.429779,128.714698
m_t1,97578,2109026268,24.5674196281,85.846471,6.937086,17.630334,119.624863
oilpan,73752,377744528,3.9565516243,95.473171,1.493866,2.462685,153.387245
opt1,15449,538342094,5.8855403739,91.468592,1.559084,4.326457,124.430249
ramage02,16830,1070390352,13.4260763109,79.724733,2.805523,10.620553,100.784801
s3dkq4m2,90449,516286714,4.9754548774,103.766736,1.734205,3.24125,159.286288
s3dkt3m2,90449,312824362,3.7746744027,82.874529,1.3068,2.467875,126.758607
ship_001,34920,1448131572,16.46342725,87.960517,4.191312,12.272115,118.001791
ship_003,121728,1159342344,13.5876313128,85.323359,4.273894,9.313737,124.476598
shipsec1,140874,901278576,11.2818505018,79.887477,3.840789,7.441062,121.12231
shipsec5,179860,1189772768,14.6420536897,81.257233,5.022776,9.619278,123.686284
shipsec8,114919,817387106,9.7132946903,84.151375,2.994038,6.719256,121.64845
srb1,54924,322148448,3.3394786878,96.466688,1.104808,2.234671,144.159241
thread,29736,1476322200,19.1814471589,76.966153,3.963686,15.217761,97.013104
trdheim,22098,385300368,3.7847115003,101.804422,1.190069,2.594643,148.498429
troll,213453,1416805614,17.6841960929,80.11705,5.872034,11.812162,119.944645
tsyl201,20685,616454874,6.3714914373,96.752052,1.74766,4.623832,133.321217
vanbody,47072,261341488,3.3738118756,77.461784,1.068146,2.305666,113.347499
x104,108384,2092544928,24.7781832499,84.451104,7.180025,17.598159,118.907039
a2nnsnsl,80016,367600496,393.7976850619,0.933476,8.876301,384.921384,0.955001
bloweya,30004,201720030,417.4582122796,0.48321,6.896591,410.561621,0.491327
brainpc2,27607,953552282,1095.0407743119,0.870792,17.197733,1077.843041,0.884686
sparsine,50000,108416900,4.947384246,21.913984,2.685013,2.262371,47.921809
std1_Jac2,21982,167635182,7.2610880641,23.086785,1.578357,5.682731,29.499052
std1_Jac3_db,21982,107194894,1.3532534984,79.212723,0.5075,0.845753,126.744875
std1_Jac3,21982,229322284,9.0168282521,25.4327,1.741956,7.274872,31.522519
Zd_Jac2_db,22835,134214134,1.6946288146,79.199724,0.601647,1.092982,122.7963
Zd_Jac2,22835,230709890,8.5940578734,26.84528,1.974326,6.619732,34.851848
Zd_Jac3_db,22835,152561542,1.8584274061,82.091741,0.653902,1.204525,126.656996
Zd_Jac3,22835,318033908,11.0311266573,28.830592,2.360429,8.670697,36.679161
Zd_Jac6_db,22835,134211204,1.6778444668,79.990253,0.600509,1.077335,124.576985
Zd_Jac6,22835,254331808,8.9252939972,28.495622,2.014206,6.911088,36.800548
bundle1,10581,948659742,20.2274310941,46.899665,3.047306,17.180125,55.218442
CO,221119,553475498,16.4913290937,33.561607,5.839619,10.65171,51.961189
Ga10As10H30,113081,2196221290,43.0765204073,50.984185,9.029596,34.046924,64.505718
Ga19As19H42,133123,4020597278,82.506101187,48.730909,16.465643,66.040458,60.88082
Ga3As3H12,61349,7355093014,202.4846007509,36.324209,21.099355,181.385246,40.549566
Ga41As41H72,268096,8505245984,172.2965042165,49.364008,30.891764,141.40474,60.148238
GaAsH6,61349,2595796714,75.5668697806,34.350989,8.587075,66.979795,38.754922
Ge87H76,112985,2939062358,61.3210855634,47.929066,12.078141,49.242944,59.684944
Ge99H100,112985,3284030726,69.5065870343,47.247763,13.187787,56.3188,58.311447
H2O,67024,149721440,5.6750440592,26.382428,2.92605,2.748994,54.464091
Si10H16,17077,224531414,5.3230781225,42.180747,1.37376,3.949319,56.853204
Si34H36,97569,1472309718,32.6527278128,45.089946,7.937169,24.715559,59.570157
Si41Ge41H72,185639,8413391102,157.4085102809,53.449404,28.000787,129.407723,65.014598
Si87H76,240369,1703150142,46.8267047472,36.371343,10.377195,36.449509,46.726284
SiO2,155331,28522560542,955.4497695935,29.852496,129.266886,826.182883,34.523301
SiO,33401,328842078,5.9846399687,54.947679,1.973749,4.010891,81.98728
net100,29920,476385560,253.2862522494,1.880819,4.803117,248.483135,1.917175
net125,36720,687763560,514.1940272166,1.337556,6.724144,507.469884,1.35528
net150,43520,934416560,797.1188910611,1.172242,7.385446,789.733445,1.183205
net50,16320,159454560,36.3209014671,4.39016,2.875622,33.445279,4.767625
net75,23120,300282560,112.5953978117,2.666917,4.788611,107.806787,2.785377
pattern1,19242,14584631380,1000.6955483128,14.574494,32.825049,967.870499,15.068784
pf2177,9728,129037780,11.5117364388,11.209237,2.602573,8.909164,14.483714
fp,7548,533316882,9.5483216268,55.854516,1.604542,7.94378,67.136411
rajat31,4690002,187490010,12.438582597,15.073262,5.826886,6.611696,28.357323
laminar_duct3D,67173,572102420,6.8081026242,84.032579,2.439005,4.369097,130.942935
thermal2,1228045,121517802,7.3367582823,16.562874,3.877366,3.459392,35.126922
F1,343791,5335021330,95.6710141239,55.764239,25.594566,70.076448,76.131446
bloweybl,30003,200939936,311.5945924699,0.644876,6.900626,304.693967,0.659481
bloweybq,10001,200759790,309.0585548416,0.649585,6.842681,302.215874,0.664293
filter3D,106437,171914370,5.0924195311,33.758878,2.65793,2.43449,70.616175
gyro,17361,155795134,2.538952374,61.361976,0.854466,1.684487,92.488204
t3dh,79171,511880718,9.4600533426,54.109707,3.377426,6.082627,84.154546
windscreen,22692,203567364,2.4941159674,81.619045,0.80351,1.690606,120.410891
bone010,986703,10903845078,136.3706026852,79.957446,46.317711,90.052891,121.082676
boneS01,127224,788059692,9.9944366884,78.849836,3.308403,6.686034,117.866546
boneS10,914898,7485424164,98.2823060942,76.16248,35.144213,63.138094,118.556386
patents,3774768,134715496,13.7508562213,9.796881,6.896589,6.854267,19.654252
Reuters911,13332,131921432,25.6161844052,5.149925,1.971962,23.644222,5.579436
c-43,11125,120030302,6.5875588727,18.220756,1.379444,5.208115,23.046784
c-45,13206,195901372,8.6620332149,22.616096,1.997486,6.664547,29.394553
c-53,30235,382255382,60.8626481873,6.280624,4.958282,55.904366,6.837666
c-57,37833,1385249962,758.0613559985,1.827359,14.835424,743.225932,1.863834
af_0_k101,503625,1224826750,19.3943054066,63.153937,7.5968,11.797506,103.820823
af_1_k101,503625,1224826750,19.393166501,63.157646,7.596509,11.796658,103.828288
af_2_k101,503625,1224826750,19.1537087187,63.947237,7.511119,11.64259,105.202257
af_3_k101,503625,1224826750,19.316524906,63.408235,7.60188,11.714645,104.555177
af_4_k101,503625,1224826750,19.3977338742,63.142775,7.594018,11.803716,103.766198
af_5_k101,503625,1224826750,19.3421061296,63.324373,7.536187,11.805919,103.746836
af_shell10,1508065,3681833750,47.9184226904,76.835454,17.427409,30.491014,120.751438
c-64b,51035,2424353398,559.613055471,4.332196,14.182232,545.430824,4.444841
