para-10,1.153949,0.871661,6.163744,0.038058,3.262035,0.0,17.995937,0.237578,29.771194458,17.838488,11.53768,18.233515,29.126204
para-4,1.172448,0.871126,4.694902,0.038598,2.999741,0.0,14.121789,0.193555,24.1404533386,20.358898,9.825109,14.315344,34.331905
para-5,1.15601,0.871514,6.166601,0.037773,3.259792,0.0,17.956673,0.236512,29.7325744629,17.861658,11.53939,18.193184,29.190771
para-6,1.155898,0.87,6.165869,0.038595,3.260029,0.0,17.983564,0.241949,29.763874054,17.842875,11.538361,18.225513,29.13899
para-7,1.155459,0.87183,6.166029,0.04,3.261264,0.0,17.980778,0.23655,29.7590732574,17.845753,11.541745,18.217329,29.152081
para-8,1.150326,0.871261,6.166218,0.038016,3.260371,0.0,17.97599,0.237891,29.7472934723,17.852819,11.533412,18.213882,29.157598
para-9,1.151309,0.8716,6.150765,0.037661,3.274224,0.0,17.953793,0.236384,29.7234458923,17.867144,11.533269,18.190176,29.195597
Stanford_Berkeley,3.153424,1.093674,5.344198,0.064909,3.003824,0.0,109.178818,2.79272,124.6811523438,3.562958,12.709615,111.971535,3.967381
mult_dcop_01,0.226781,0.239302,3.676688,0.130406,69.129005,0.0,21.089415,1.843376,96.3990325928,10.79875,73.46624,22.932791,45.393036
mult_dcop_02,0.223194,0.38865,3.678819,0.125235,69.644829,0.0,19.838163,2.037482,95.9998626709,10.843651,74.124214,21.875645,47.586666
mult_dcop_03,0.225158,0.240368,3.681705,0.125677,69.123245,0.0,21.047495,1.89224,96.4003601074,10.798588,73.460625,22.939735,45.379242
gyro_k,0.051667,0.0328,0.53569,0.033062,0.161069,0.0,2.045994,0.00608,2.9129536152,53.483562,0.86088,2.052073,75.920837
t3dh_a,0.171155,0.857299,2.510512,0.034934,0.488253,0.0,7.598396,0.004906,11.7120161057,43.705601,4.108714,7.603302,67.323471
t3dh_e,0.168192,0.897427,2.385175,0.0268,0.091824,0.0,7.217001,0.005018,10.8388223648,47.226597,3.616803,7.222019,70.877785
bmw3_2,2.474534,0.691056,4.71975,0.044486,0.10625,0.0,14.868052,0.22857,23.1804542542,52.100372,8.083833,15.096622,79.998718
c-58,0.062966,0.034051,2.021939,0.03799,3.061895,0.0,7.42522,0.051824,12.7434082031,12.368619,5.266365,7.477044,21.080305
c-62ghs,0.077744,0.034077,2.183187,0.037654,2.88839,0.0,6.173456,0.02913,11.4708919525,9.87491,5.268306,6.202586,18.262388
c-71,0.104656,0.895626,3.168311,0.036963,3.103043,0.0,10.791862,0.1388,18.286737442,8.219042,7.356075,10.930662,13.75026
exdata_1,0.055133,0.030854,6.777078,0.032835,0.080867,0.0,21.078152,0.032646,28.134475708,241.042847,7.023678,21.110798,321.239136
audikw_1,4.644403,0.657917,107.76461,0.077571,3.922141,0.0,250.53714,1.852477,369.5057067871,43.786793,117.116089,252.389618,64.105133
bmw7st_1,1.303046,0.819843,3.489488,0.040346,0.093194,0.0,9.97688,0.15583,15.9262514114,50.735008,5.793541,10.13271,79.743568
bmwcra_1,1.361859,0.693562,8.822857,0.037766,0.120202,0.0,17.946033,0.741917,29.7730865479,54.57975,11.085136,18.68795,86.954834
crankseg_1,0.264195,0.030333,10.500918,0.03856,1.72808,0.0,70.435966,0.038688,83.0858154297,61.350742,12.611161,70.474655,72.329216
crankseg_2,0.329942,0.029667,14.436068,0.039165,3.344105,0.0,108.000931,0.03169,126.2588653564,58.969608,18.226246,108.032623,68.918404
crplat2,0.051309,0.028678,0.28569,0.009066,0.061606,0.0,1.216912,0.004963,1.706111908,61.29755,0.484237,1.221875,85.590157
fcondp2,2.458931,0.703638,4.235885,0.02848,0.10152,0.0,13.144381,0.023034,20.743473053,62.702236,7.576059,13.167414,98.778862
fullb,2.457052,0.705242,5.313322,0.029536,0.115754,0.0,14.549833,0.025638,23.2441310883,61.962677,8.668659,14.575472,98.814537
halfb,2.489363,0.674138,4.997226,0.030765,0.113264,0.0,14.787103,0.024912,23.1654777527,61.773014,8.353463,14.812015,96.610855
hood,2.466851,0.695046,3.5564,0.028653,0.102106,0.0,12.501887,0.023165,19.4234981537,57.870949,6.898446,12.525052,89.744637
inline_1,3.403936,0.830675,40.438694,0.057453,1.653821,0.0,88.220123,0.412256,135.0664978027,49.315609,46.43412,88.632378,75.151848
ldoor,3.66136,0.588733,17.035738,0.117658,3.789801,0.0,52.519146,0.026752,77.7877807617,61.934696,25.241882,52.545898,91.686752
m_t1,1.297216,0.769632,9.364612,0.04,0.103766,0.0,21.67297,0.978438,34.2760314941,61.530647,11.624623,22.651409,93.107956
oilpan,0.142154,0.923178,0.973741,0.026349,0.073821,0.0,3.366326,0.004982,5.5567269325,67.979675,2.185418,3.371309,112.046844
opt1,0.077802,0.029078,1.440944,0.034211,0.078355,0.0,5.427408,0.005805,7.1410970688,75.386467,1.707885,5.433213,99.083565
ramage02,0.092781,0.029699,2.997146,0.033523,0.075501,0.0,10.906371,0.006147,14.1876955032,75.444977,3.275177,10.912519,98.088303
s3dkq4m2,1.217203,0.522854,1.226371,0.026771,0.083792,0.0,4.262096,0.022534,7.4083070755,69.690247,3.123676,4.284631,120.497368
s3dkt3m2,1.195008,0.138557,0.971926,0.026461,0.072944,0.0,2.872109,0.022816,5.3464636803,58.510513,2.451539,2.894925,108.059578
ship_001,0.142115,0.031798,4.376112,0.034675,0.092602,0.0,15.276179,0.006262,20.0063591003,72.383568,4.723917,15.282442,94.757866
ship_003,1.30161,0.773539,4.992355,0.029155,0.102195,0.0,10.570378,0.023133,17.8398990631,64.985924,7.246388,10.593511,109.438911
shipsec1,1.273498,0.809766,2.971001,0.026474,0.083478,0.0,7.580877,0.022646,12.8142824173,70.333908,5.210759,7.603523,118.534332
shipsec5,2.428967,0.744906,4.157421,0.028963,0.102694,0.0,10.468361,0.023827,18.0046577454,66.08139,7.51247,10.492188,113.396057
shipsec8,1.273603,0.846298,2.774973,0.027949,0.091725,0.0,7.469171,0.023885,12.5553569794,65.102661,5.062301,7.493056,109.085953
srb1,0.120365,0.943581,0.823958,0.026723,0.07992,0.0,3.477808,0.005075,5.5245637894,58.312012,2.041681,3.482883,92.494766
thread,0.133664,0.027878,3.98383,0.033299,0.091322,0.0,17.895733,0.00615,22.2182712555,66.446312,4.316388,17.901884,82.467415
trdheim,0.087482,0.031709,1.235853,0.009594,0.069971,0.0,2.610317,0.006298,4.0984640121,94.010918,1.48185,2.616614,147.251495
troll,2.473181,0.690054,4.618448,0.044416,0.115274,0.0,17.27124,0.14247,25.4045658112,55.769726,7.990855,17.413712,81.361496
tsyl201,0.094726,0.028435,2.442816,0.009683,0.078896,0.0,5.596633,0.031478,8.3299684525,74.004463,2.701857,5.628112,109.53138
vanbody,0.101427,0.964275,0.811648,0.033382,0.068915,0.0,3.399728,0.024371,5.4493279457,47.958481,2.025229,3.424099,76.324158
x104,1.319872,0.74663,9.8084,0.037082,0.111626,0.0,20.111866,1.151565,33.3359146118,62.771488,12.072484,21.263432,98.4105
a0nsdsil,0.998582,0.911427,4.597607,0.03352,3.797606,0.0,18.819166,2.838886,32.0451431274,12.575701,10.387091,21.658052,18.606943
a2nnsnsl,1.013418,0.926006,3.801353,0.032234,3.537542,0.0,17.860235,1.413894,28.6323661804,12.838635,9.358236,19.27413,19.072224
a5esindl,0.095488,0.753434,2.713737,0.032787,3.577328,0.0,13.463234,1.421264,22.1062221527,15.91317,7.221724,14.884498,23.633989
bloweya,1.0688,0.028454,1.080451,0.032915,3.995091,0.0,7.049434,1.324307,14.6271390915,13.790806,6.253398,8.373741,24.089596
brainpc2,0.241258,0.605251,2.675184,0.037024,8.027802,0.0,11.206553,1.365075,24.2061653137,39.392948,11.634537,12.571629,75.849541
sparsine,0.111414,0.954634,0.797331,0.03559,0.805366,0.0,3.374637,0.024797,6.152223587,17.622391,2.75279,3.399433,31.892637
